"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Bundesland";"Postleitzahl";"Ort";"Straße";"Hausnummer";"Gemarkung";"Flurstück";"Gemeindeschlüssel";"Koordinate: Breitengrad (WGS84)";"Koordinate: Längengrad (WGS84)";"Anzahl der Solar-Module";"Hauptausrichtung der Solar-Module";"Name des Windparks";"Nabenhöhe der Windenergieanlage";"Rotordurchmesser der Windenergieanlage";"Hersteller der Windenergieanlage";"Typenbezeichnung";"Hauptbrennstoff der Einheit";"Nutzbare Speicherkapazität in kWh";"Technologie der Stromerzeugung";"Lage der Einheit";"Letzte Aktualisierung";"Datum der endgültigen Stilllegung";"Datum der geplanten Inbetriebnahme";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"Volleinspeisung oder Teileinspeisung";"MaStR-Nr. der Genehmigung";"Name des Anschluss-Netzbetreibers";"MaStR-Nr. des Anschluss-Netzbetreibers";"Netzbetreiberprüfung";"Spannungsebene";"MaStR-Nr. der Lokation";"MaStR-Nr. der EEG-Anlage";"EEG-Anlagenschlüssel";"Inbetriebnahmedatum der EEG-Anlage";"Installierte Leistung der EEG-Anlage";"Zuschlagnummer (EEG/KWK-Ausschreibung)";"MaStR-Nr. der KWK-Anlage";"Inbetriebnahmedatum der KWK-Anlage";"Elektrische KWK-Leistung";"Thermische Nutzleistung in kW"
"SEE943811776453";"WEA Wilsdruff - Mohorn IV";"In Betrieb";"Wind";"2350";"2350";"8/30/2017";"2/13/2019";"Sachsen";"01723";"Mohorn";"Mohorner Höhe";"2 Z";"";"";"14628410";"50,986519";"13,451383";"";"";"WP Wilsdruff-Mohorn";"103,9";"92";"ENERCON GmbH";"E-92";"";"";"Horizontalläufer";"Windkraft an Land";"2/8/2022";"";"";"SachsenEnergie AG";"ABR916198639970";"Volleinspeisung";"SGE903065357938";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL904081147275";"EEG923115168826";"E41081010000000000000000000249116";"8/30/2017";"2350";"";"";"";"";""
"SEE933316124781";"Windkraftanlage Kaiserburg_FMS_GbR";"In Betrieb";"Wind";"600";"600";"6/4/1997";"2/14/2019";"Sachsen";"04736";"Waldheim";"";"";"Gebersbach";"Flurstück 2/5";"14522080";"51";"13";"";"";"Windkraft Kaiserburg";"60";"43";"Vestas Deutschland GmbH";"NTK600/43";"";"";"Horizontalläufer";"Windkraft an Land";"6/16/2021";"";"";"FMS Scheuerlein GbR";"ABR961577154681";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung; Mittelspannung";"SEL988484934984";"EEG993526125909";"E41081010000000000000000000005884";"6/4/1997";"600";"";"";"";"";""
"SEE915926580188";"E 781881";"In Betrieb";"Wind";"2300";"2300";"3/5/2008";"2/19/2019";"Sachsen";"04769";"Mügeln";"";"";"Ablaß";"138/2";"14730200";"51,228778";"12,908472";"";"";"Windpark Ablaß/ Sornzig";"";"";"ENERCON GmbH";"";"";"";"Horizontalläufer";"Windkraft an Land";"9/28/2023";"";"";"Stadtwerke Leipzig GmbH";"ABR996401106758";"Volleinspeisung";"SGE933019456042";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL960116534762";"EEG958794291381";"E41081010000000000000000000117855";"3/5/2008";"2300";"";"";"";"";""
"SEE956510126443";"S_46050, WE02";"In Betrieb";"Wind";"600";"600";"3/14/2001";"3/6/2019";"Sachsen";"04808";"Thallwitz";"";"";"Thallwitz";"Flur Thallwitz Flurstück 950,2";"14729380";"51,43943";"12,708971";"";"";"Windpark Thallwitz";"74";"46";"Südwind Borsig Energy GmbH";"SÜDWIND S-46/600 kW";"";"";"Horizontalläufer";"Windkraft an Land";"2/9/2022";"";"";"Rasmus GmbH";"ABR969525737825";"Volleinspeisung";"SGE993679276077";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL904324761558";"EEG911430270140";"E41081010000000000000000000006875";"3/14/2001";"600";"";"";"";"";""
"SEE945260335038";"S_46051, WE03";"In Betrieb";"Wind";"600";"600";"3/28/2001";"3/6/2019";"Sachsen";"04808";"Thallwitz";"Im Ilsental";"700";"";"";"14729380";"51,44146";"12,712739";"";"";"Windpark Thallwitz";"74";"46";"Südwind Borsig Energy GmbH";"Südwind S 46/600";"";"";"Horizontalläufer";"Windkraft an Land";"1/13/2022";"";"";"Rasmus GmbH";"ABR969525737825";"Volleinspeisung";"SGE946081840923";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL904324761558";"EEG984206994199";"E41081010000000000000000000006874";"3/28/2001";"600";"";"";"";"";""
"SEE975260830493";"WP GB WEA2";"In Betrieb";"Wind";"3400";"3400";"4/29/2017";"3/12/2019";"Sachsen";"04668";"Grimma";"";"";"Großbardau";"500";"14729160";"51,189738";"12,709178";"";"";"WP Großbardau";"143";"114";"Senvion Deutschland GmbH";"3.4M114";"";"";"Horizontalläufer";"Windkraft an Land";"10/18/2022";"";"";"Windstromer GmbH & Co. Bardauer Wind KG";"ABR929296273243";"Volleinspeisung";"SGE951499320677";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL951858928025";"EEG925833468363";"E41081010000000000000000000245060";"4/29/2017";"3400";"";"";"";"";""
"SEE978382435096";"SW-GER17";"In Betrieb";"Wind";"3450";"3450";"2/4/2020";"2/5/2020";"Sachsen";"09355";"Gersdorf";"";"";"Gersdorf";"78/42";"14524070";"50,762235";"12,688766";"";"";"Windgebiet Bernsdorf/Gersdorf";"166";"126";"Vestas Deutschland GmbH";"V126";"";"";"Horizontalläufer";"Windkraft an Land";"7/2/2021";"";"";"Sabowindpark Gersdorf 3";"ABR958148362651";"Volleinspeisung";"SGE991125693188";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung; Mittelspannung";"SEL990754816258";"EEG990005686982";"E41081010000000000000000000272097";"2/4/2020";"3450";"WIN18-2/058,";"";"";"";""
"SEE905291723570";"SW-BER18";"In Betrieb";"Wind";"3450";"3450";"12/17/2019";"12/18/2019";"Sachsen";"09337";"Bernsdorf";"";"";"Bernsdorf";"649/5";"14524010";"50,757778";"12,679018";"";"";"Windgebiet Bernsdorf/Gersdorf";"166";"126";"Vestas Deutschland GmbH";"V126";"";"";"Horizontalläufer";"Windkraft an Land";"7/2/2021";"";"";"Sabowindpark Gersdorf 3";"ABR958148362651";"Volleinspeisung";"SGE972326232086";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung; Mittelspannung";"SEL990754816258";"EEG955618211402";"E41081010000000000000000000272099";"12/17/2019";"3450";"WIN18-2/058,";"";"";"";""
"SEE924793446015";"SW-BER19";"In Betrieb";"Wind";"3450";"3450";"11/1/2019";"11/18/2019";"Sachsen";"09337";"Bernsdorf";"";"";"Bernsdorf";"618";"14524010";"50,754836";"12,679433";"";"";"Windgebiet Bernsdorf/Gersdorf";"166";"126";"Vestas Deutschland GmbH";"V126";"";"";"Horizontalläufer";"Windkraft an Land";"7/2/2021";"";"";"Sabowindpark Gersdorf 3";"ABR958148362651";"Volleinspeisung";"SGE995157486695";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung; Mittelspannung";"SEL990754816258";"EEG912417013309";"E41081010000000000000000000272100";"11/1/2019";"3450";"WIN18-2/057,";"";"";"";""
"SEE901398830883";"SEI WEA70068";"In Betrieb";"Wind";"1500";"1500";"12/19/2001";"3/14/2019";"Sachsen";"09661";"Rossau";"";"";"Seifersbach";"Flur Seifersbach Flurstück 92/6";"14522500";"50,977547";"13,027572";"";"";"Windpark Seifersbach";"65";"70";"Nordex Energy GmbH";"S70";"";"";"Horizontalläufer";"Windkraft an Land";"4/14/2022";"";"";"ORBIS GmbH & Co. Energie- u. Umwelttechnik Erste KG";"ABR971534939619";"Volleinspeisung";"SGE935900498070";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL968379250795";"EEG971421823861";"E41081010000000000000000000006872";"12/19/2001";"1500";"";"";"";"";""
"SEE913096116961";"WEA Mohorn II";"In Betrieb";"Wind";"600";"600";"12/21/2002";"3/16/2019";"Sachsen";"01723";"Mohorn";"";"";"Mohorn";"878";"14628410";"50,989923";"13,453285";"";"";"Mohorn";"65";"44";"ENERCON GmbH";"E-40/6.44";"";"";"Horizontalläufer";"Windkraft an Land";"8/17/2023";"";"";"IG Windenergie Mohorn 2002 GmbH & Co. KG";"ABR950292700280";"Volleinspeisung";"SGE955198317846";"SachsenNetze HS.HD GmbH (SNB968914838013)";"SNB968914838013";"Geprüft";"Mittelspannung";"SEL912205653977";"EEG903994476533";"E41874010000000000114045887000001";"12/20/2002";"600";"";"";"";"";""
"SEE911803227467";"WEA Mohorn III";"In Betrieb";"Wind";"2300";"2300";"9/30/2011";"3/16/2019";"Sachsen";"01723";"Mohorn";"";"";"Mohorn";"921";"14628410";"50,988089";"13,454928";"";"";"Mohorn";"64";"71";"ENERCON GmbH";"E-70/E4";"";"";"Horizontalläufer";"Windkraft an Land";"6/14/2021";"";"";"Windpark III Mohorn GmbH & Co. KG";"ABR916089791657";"Volleinspeisung";"SGE914883104390";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL978482482181";"EEG984332552157";"E41081010000000000000000000011105";"9/30/2011";"2300";"";"";"";"";""
